id,tenant_domain,touch_id,channel,recipient_domain,owner_user_id,occurred_at
ac0a46ab-f002-4bd3-be1d-70627edd4a72,synozur.com,bb392590-12af-48ab-b754-87294e6b0e93,email,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-14 22:32:07.599833
b46cf7a7-0c8b-4c21-afaa-113e878b23c0,synozur.com,d1063d1f-04cf-44d7-968e-0b0fdbfd2d2d,email,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-15 20:11:53.157089
436c01c6-7ea8-488b-9836-e857d3e96170,synozur.com,ad8fb353-e363-4cd5-8de4-41d080d83b4d,linkedin,warburgpincus.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-17 15:41:45.441915
ab925281-0675-4f71-a9ce-7dec28c72906,synozur.com,02e568c2-830e-4a85-9eeb-61a0f7a44bc0,linkedin,apollo.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-17 15:43:28.048777
740a497b-6c66-42f1-82d8-ffcda1b6a4b3,synozur.com,880a5c99-e9e9-4870-a172-83c9e7b5ca89,linkedin,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-17 15:46:06.61399
6fd4af55-ad42-401f-963b-0de1405b58ce,synozur.com,a55d5463-85df-4ea3-a780-d45560cb8750,linkedin,eimagine.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-24 00:45:27.569441
0c3720fb-ec97-4b9d-8aae-58abecdb3426,synozur.com,9273b51a-ab25-4602-900b-f97707af512a,email,solution-source.net,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-24 00:46:20.336184
9bff0366-3675-4b60-9840-99744e7e5461,synozur.com,b69e46ce-0eca-4f0a-9297-7a10000f056b,linkedin,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-24 20:12:49.398473
491dcefc-e3d7-4e1c-bb63-3ff5c9f3e6f8,synozur.com,a3fb6847-7068-4486-833e-49d19b7ff977,linkedin,enavate.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-24 20:13:23.688715
d4c1a2b3-4dc0-4b6e-8094-e8424669e7a0,synozur.com,810fbb1e-d33f-4130-a4eb-6b779c7cc124,linkedin,webscale.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-24 20:18:09.64838
e2838002-4fab-4c0a-850f-d64725e771c5,synozur.com,927d0f27-6861-4801-8520-b8af1d8f099b,linkedin,avepoint.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-25 17:05:35.024112
f78ca217-607e-491e-900f-744ba838387b,synozur.com,b986f36a-6459-42cf-9c9b-85b3559e59dd,email,recordpoint.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-25 17:16:56.801291
56179979-67d3-46c0-8a8e-f0a0e63e9d1e,synozur.com,db644616-367a-4834-8635-fd830013bbcf,linkedin,journeyteam.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-25 17:20:17.217367
4cbcd853-0aba-45f7-8264-f740b80e3e6a,synozur.com,61bd4fb6-f428-4b36-a1bd-3c216fd28d80,email,slalom.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-25 17:24:59.927225
e1a01884-693e-4d5c-b26e-599dc0c1906e,synozur.com,7aa9fe62-7a3f-4ae3-ab20-b70b82f2d157,linkedin,dqsconsulting.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:44:16.946757
3c6d4f91-c267-47f5-be04-5c56b4b17c27,synozur.com,e791978b-2af7-4880-9927-bcb1177d21a1,linkedin,aktion.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:46:10.004654
5251076e-c486-49de-b636-8306e3b6031c,synozur.com,c15fa61e-f389-4c7b-a8d3-de0e44378da5,linkedin,dataxstream.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:47:41.889364
27c07456-6cdb-436b-b69f-9c6efb1d87df,synozur.com,c044f419-66ad-451a-9ee2-f4412e416de5,linkedin,queueassoc.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:51:30.700424
a29c470e-263d-432d-bbad-a77213266d33,synozur.com,8de0237e-5cdf-4356-9214-609b85b7a0f5,linkedin,coretek.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:54:04.771289
b0188563-b9b1-4c76-b683-8e5dcf157763,synozur.com,f2f04d4e-6cc8-4732-980e-f0403400bdaf,linkedin,staxpayments.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:55:24.848655
8e16786f-0d54-4646-bbb1-740cfb57b00e,synozur.com,dafb48f6-2fa7-4f0b-a089-6bbca29c624e,linkedin,qorusdocs.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-26 00:58:46.493328
6f24aa52-7703-48a9-a5c9-a7c0d86cd275,synozur.com,af0be9c6-faf5-4734-88d8-fa0343189753,email,cadencesolutions.ca,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-27 00:11:19.430929
63d32b26-7288-4b66-b910-9cab28d97b20,synozur.com,fab2c942-cee2-4ebe-8707-6b6ac77f630e,email,orchestry.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-27 00:12:43.838644
d3c905fa-bdf0-48ec-adc0-b9bbcde67fcb,synozur.com,3e075772-a5c5-4a56-a752-95f3cbe7d171,email,choctawnation.com,116500d0-357e-4ace-a7af-7264ed58e22a,2026-07-08 21:59:04.240078
