id,project_id,product_id,role,source,created_at
43b06934-b354-4271-9c94-1c469a491e9b,b9f413e5-7ab4-4155-903f-78a25aaabbd9,7f4f6356-c3ed-4089-ab80-403a5e92b859,competitor,suggested,2026-01-19 01:01:48.921229
f296360f-d273-4806-a812-61308e4281bd,b9f413e5-7ab4-4155-903f-78a25aaabbd9,ee68be45-6776-4844-9531-647f4dd0990f,competitor,suggested,2026-01-19 01:01:59.100145
8c40a402-b525-49d1-a622-6a01a7fe57ea,b9f413e5-7ab4-4155-903f-78a25aaabbd9,4802b984-4f20-4fa3-89a6-74642558c328,competitor,manual,2026-01-17 18:24:04.24803
9ceef061-7c78-487c-b16c-8994706fdcc2,b9f413e5-7ab4-4155-903f-78a25aaabbd9,79c60fb8-5a99-4655-8abd-f58599f48b87,competitor,manual,2026-01-17 18:29:21.929337
9bb5d618-1dfe-4e0a-b47e-288b8c504810,b9f413e5-7ab4-4155-903f-78a25aaabbd9,06deda54-8c2d-4673-ad71-9fffe3a314d3,baseline,manual,2026-01-17 18:21:31.069697
2fab216f-4d75-4567-b5fa-39f16ccd7194,041f2d51-e314-43d8-a4d3-e07c5e0c1055,77b7513c-c26c-4950-a83a-728c8090d505,baseline,manual,2026-01-19 02:23:46.656232
18d16845-4690-44a3-bad8-1e9b9a5dfeb1,041f2d51-e314-43d8-a4d3-e07c5e0c1055,6c7c3a69-da39-4768-847c-774eafd29616,competitor,suggested,2026-01-19 02:24:07.811353
d8def32d-c206-44df-b2f6-67ba834c4551,041f2d51-e314-43d8-a4d3-e07c5e0c1055,0cb3b8e5-dfef-4392-b708-b9a14dcf9647,competitor,suggested,2026-01-19 02:24:10.645909
36ce4d35-b8d1-4028-ac20-29f51f6b6b08,041f2d51-e314-43d8-a4d3-e07c5e0c1055,f846e136-d7ab-4947-bd70-b4ee78622922,competitor,suggested,2026-01-19 02:24:16.798541
79ee2588-e850-45c5-bb2b-4e3a7cbf539b,9452ed99-c911-4842-aa43-4d4a2f36f0bb,7ad06a5d-21c0-4bfc-a8ff-01bdc58da5fe,baseline,manual,2026-01-22 22:19:56.021412
d6878e1c-8912-47dd-b03b-15738d9d7ec4,9452ed99-c911-4842-aa43-4d4a2f36f0bb,82182734-03d7-4454-aa18-8ce5b3c42b88,competitor,suggested,2026-01-22 22:21:14.797091
5083384a-cabd-444f-99bb-4f322e0c2df9,9452ed99-c911-4842-aa43-4d4a2f36f0bb,9847444d-f06b-48dd-84ee-848f068dad3c,competitor,suggested,2026-01-22 22:21:16.700035
53c924ac-82c4-410d-83cc-2cff0edb42b9,9452ed99-c911-4842-aa43-4d4a2f36f0bb,2977c15a-1c79-4758-b2a4-92d7a20833fa,competitor,suggested,2026-01-22 22:21:19.79785
035f888f-4522-44b0-b6b1-a8eeef097713,9452ed99-c911-4842-aa43-4d4a2f36f0bb,37bd6fe6-4473-48ec-9053-563e9357f723,competitor,suggested,2026-01-22 22:21:25.399371
bd6d982b-a4cb-4367-b86f-dd46fbf9d20c,98647de0-4773-4d77-b0e3-ac466ee4f464,dcc2f369-3d1a-42c1-ba33-61f2d3aefdca,competitor,suggested,2026-01-22 22:37:09.131056
5414a711-fb8d-47a3-bdda-b9c0b3141bb2,98647de0-4773-4d77-b0e3-ac466ee4f464,701b623b-5679-43e8-ae32-9f7837a7d5f1,competitor,suggested,2026-01-22 22:37:13.986759
adf4f56f-378b-4df2-99f3-f1ef8e55ab8c,98647de0-4773-4d77-b0e3-ac466ee4f464,1589b234-0b8b-440b-99b8-bdfa8260cbce,competitor,suggested,2026-01-22 22:37:16.831721
57994afe-28b7-48ee-b2af-cbc20af0526a,98647de0-4773-4d77-b0e3-ac466ee4f464,95481f16-3350-4568-974d-742258bd0fde,competitor,suggested,2026-01-22 22:37:18.718991
527c7e30-dc92-4e19-b4e5-da1a894f8ced,5342247b-9209-4606-bdc6-00d1b1df73ac,f369bdb3-3311-4c90-a675-019b35a54cb8,baseline,manual,2026-01-23 01:44:33.488765
f7089d3b-9e77-4dd5-8335-bca8902fe6a1,5342247b-9209-4606-bdc6-00d1b1df73ac,cb6081e2-1bb6-4c9a-9509-d1d286e9f692,competitor,suggested,2026-01-23 01:45:00.363881
c49d17c6-b7b8-464d-b7d1-3f3fbd8892e0,5342247b-9209-4606-bdc6-00d1b1df73ac,67ebb117-741d-46b9-886d-e223ca1cc220,competitor,suggested,2026-01-23 01:45:02.61606
5fd9445f-a1e9-4d91-b923-40508b41f091,aab5d992-7976-4cde-addc-5d689002757f,19655dda-7457-4502-88d9-3fe33f65564d,baseline,manual,2026-01-23 16:17:00.375789
651dd923-f947-4656-bb55-2cafcaef9479,aab5d992-7976-4cde-addc-5d689002757f,307017ea-f32c-4132-9503-c88c74cd1015,competitor,suggested,2026-01-23 16:17:30.875293
1359bf00-be25-421e-b4c3-b64c96a61d21,aab5d992-7976-4cde-addc-5d689002757f,e6d321bf-b40b-47ce-9393-d8e3c0eee06f,competitor,suggested,2026-01-23 16:17:34.640517
6ec1d37e-b3bd-4ec4-ba51-f2133544aafb,aab5d992-7976-4cde-addc-5d689002757f,6ee2d65c-f0b3-4e85-b406-3d863655104c,competitor,suggested,2026-01-23 16:17:35.894112
032a90e4-a0ac-4441-beb9-206d9b1544c2,aab5d992-7976-4cde-addc-5d689002757f,81f8010e-725d-4364-9850-740b6ca133cf,competitor,suggested,2026-01-23 16:17:37.014386
cc48b0d2-ef07-49a3-a63f-018392be093d,aab5d992-7976-4cde-addc-5d689002757f,f2aef040-b96c-44ac-9155-5aac1e91b52c,competitor,suggested,2026-01-23 16:17:39.922488
051aec5f-bc05-4a13-968d-eb571a51e167,589319f6-dba6-410d-a2f9-813a5c5c0625,7afeb88d-548a-4849-b49f-e7269953a0a8,baseline,manual,2026-01-23 20:27:34.542533
a9023864-74a2-4151-b52e-f4d8349ae852,589319f6-dba6-410d-a2f9-813a5c5c0625,10875a0b-1659-4ffc-95d9-d51f3c79ca4c,competitor,suggested,2026-01-23 20:27:57.519891
fadee162-559e-4bca-84a4-887be833f2d9,589319f6-dba6-410d-a2f9-813a5c5c0625,6d754ef3-ed9c-4095-9deb-f0ee8f9b14d7,competitor,suggested,2026-01-23 20:27:59.955129
2e8e343b-3ddb-4c0a-9874-2a7a7e35ea25,589319f6-dba6-410d-a2f9-813a5c5c0625,2a999525-9bbc-41c3-94e0-f28895d04a3c,competitor,suggested,2026-01-23 20:28:01.54202
6e87002a-a6a5-406e-b0e1-730d682d15a2,589319f6-dba6-410d-a2f9-813a5c5c0625,a8426459-83ea-41a0-8515-99239181e479,competitor,suggested,2026-01-23 20:28:03.792713
9bfbf1f9-027d-4ada-96b5-1f18b1aabcb0,589319f6-dba6-410d-a2f9-813a5c5c0625,17123919-9a88-4d4f-8d2b-4a42dd2665bb,competitor,suggested,2026-01-23 20:28:05.849573
1f215336-8a21-4cdb-8ae7-9940213a3657,5342247b-9209-4606-bdc6-00d1b1df73ac,6c71ad17-a53a-4cf6-9757-119e2f7165a4,competitor,suggested,2026-01-23 20:35:38.566161
fbb63878-708f-468b-834d-421a019c1c47,5342247b-9209-4606-bdc6-00d1b1df73ac,d48a163b-5eb9-42fc-9bd4-73adfb0f6d72,competitor,suggested,2026-01-23 20:35:42.030532
6af790eb-e040-444f-8ebe-c86adf615c02,b9f413e5-7ab4-4155-903f-78a25aaabbd9,72fda410-af0d-4f34-9420-1532b558bb70,competitor,suggested,2026-01-24 02:38:55.872632
f2836221-8503-4c95-aaec-adfcf66fd6b7,c84a4cfe-a82f-4fb6-b0a5-0d9f0304cafb,298589ed-dc5f-44a1-8594-0e8270f78038,baseline,manual,2026-01-27 04:52:12.749929
