id,tenant_domain,market_id,user_id,provider,model,operation,input_tokens,output_tokens,total_tokens,estimated_cost,duration_ms,success,error_message,metadata,created_at
3090ab85-3099-471f-9eaf-4295223ef892,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_product_battlecard,665,2306,2971,,,t,,,2026-01-19 15:32:40.355581
84489a56-2624-457c-bbfe-4e2f89328a1c,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_strategic_recommendations,731,2350,3081,,,t,,,2026-01-19 15:36:10.252927
32b59993-3340-4a7c-a0c7-32169df60d82,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_competitive_summary,726,2781,3507,,,t,,,2026-01-19 15:36:23.834277
b5b2b349-665c-4c9c-9574-6dbff2d18e39,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_messaging_framework,740,3374,4114,,,t,,,2026-01-19 15:36:29.390043
587c681e-7542-41ac-bdae-fec422e4fb50,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_gtm_plan,741,3835,4576,,,t,,,2026-01-19 15:36:37.978187
c94c945f-48b8-48fb-963d-2e16926b6f07,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_gap_analysis,733,4000,4733,,,t,,,2026-01-19 15:36:38.613179
55d61d05-ff7c-4560-9691-430438ed73b4,synozur.com,5428db01-79b3-4487-a2b2-0e63327f2510,116500d0-357e-4ace-a7af-7264ed58e22a,anthropic,claude-sonnet-4-5,generate_battlecard,533,1876,2409,,,t,,,2026-01-19 17:02:22.502887
65da1466-8011-4468-8f3c-95da3e859446,chrismcnulty.net,,,anthropic,claude-sonnet-4-5,generate_battlecard,524,1694,2218,,,t,,,2026-01-19 17:56:32.819707
a402d893-7078-401f-adb9-2a5d2e826bd9,chrismcnulty.net,,,anthropic,claude-sonnet-4-5,generate_battlecard,501,1871,2372,,,t,,,2026-01-19 17:56:51.071059
a9849713-6cc2-42da-b602-b0fd4f47a11b,chrismcnulty.net,,,anthropic,claude-sonnet-4-5,generate_baseline_messaging_framework,987,4096,5083,,,t,,,2026-01-19 17:57:24.332957
7af9ee30-36b3-4018-994e-1f2b4f0d20c4,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,cfb63c72-81e0-44ff-9c96-7d6632a72dde,anthropic,claude-sonnet-4-5,generate_battlecard,496,1603,2099,0.025533,,t,,,2026-01-19 20:09:54.234351
5105cf88-23f3-440b-b6d5-d78c333959ae,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,cfb63c72-81e0-44ff-9c96-7d6632a72dde,anthropic,claude-sonnet-4-5,generate_battlecard,509,1762,2271,0.027957,,t,,,2026-01-19 20:10:11.091206
8bcb2264-8f9d-45f9-9c6b-6bb349a8e1e9,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,cfb63c72-81e0-44ff-9c96-7d6632a72dde,anthropic,claude-sonnet-4-5,generate_baseline_messaging_framework,910,4096,5006,0.064170,,t,,,2026-01-19 20:10:54.303626
