id,name,date,type,size,author,status,created_at,scope,project_id,tenant_domain,created_by,file_url,market_id,generated_from_data_as_of
ccadd2e7-57f5-417e-a387-b147ae4b0e1a,January 2026,2026-01-19,Competitive Analysis,459 KB,Chris McNulty,Generated,2026-01-19 16:45:26.839469,baseline,,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,,
967caa22-7817-4291-9b82-912625dd8cd7,January 2026,2026-01-19,Competitive Analysis,459 KB,Chris McNulty,Generated,2026-01-19 16:46:46.328048,baseline,,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,,
fb8c2805-45ec-4c3d-8b45-aea0984eb303,Product 2 Report Jan 2026,2026-01-19,Competitive Analysis,388 KB,Chris McNulty,Generated,2026-01-19 16:57:45.208336,project,b9f413e5-7ab4-4155-903f-78a25aaabbd9,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,,
bb3d634a-344b-4b00-ba5b-d29bf514b7e4,Initial January 2026,2026-01-19,Competitive Analysis,595 KB,Chris McNulty,Generated,2026-01-19 20:30:50.48654,baseline,,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,f78f8c44-7b05-43c5-9add-a08bf46af886,
719ddb6d-8905-459b-8e71-1818c08d0f2d,Synozur26,2026-01-23,Competitive Analysis,742 KB,Chris McNulty,Generated,2026-01-23 04:21:01.75771,baseline,,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,5428db01-79b3-4487-a2b2-0e63327f2510,
d327c87f-9f27-425f-97a6-a671a00c8d9f,2026 M-Files Analysis,2026-01-23,Competitive Analysis,778 KB,Chris McNulty,Generated,2026-01-23 18:35:06.142433,baseline,,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,
4fc72323-0eec-4268-9835-e1c528686f72,M-Files Workspaces,2026-01-23,Competitive Analysis,686 KB,Chris McNulty,Generated,2026-01-23 18:45:52.456151,project,aab5d992-7976-4cde-addc-5d689002757f,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,17daaca7-2a15-4f92-bbf3-c9a401ef36ac,
647f765f-f46f-4a69-aa02-3ddd38275a4c,HELUX Core 2026,2026-01-23,Competitive Analysis,943 KB,Chris McNulty,Generated,2026-01-23 23:25:46.875325,baseline,,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,5428db01-79b3-4487-a2b2-0e63327f2510,
e3dd4a3a-d79c-4f78-847c-d7575719be99,Themis IA,2026-01-23,Competitive Analysis,661 KB,Chris McNulty,Generated,2026-01-23 23:26:34.364738,project,589319f6-dba6-410d-a2f9-813a5c5c0625,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,5428db01-79b3-4487-a2b2-0e63327f2510,
92a9f739-855a-445e-875d-7e97b11ea3a5,Competitive Analysis - 1/23/2026,2026-01-23,Competitive Analysis,661 KB,Chris McNulty,Generated,2026-01-23 23:26:43.741569,project,589319f6-dba6-410d-a2f9-813a5c5c0625,synozur.com,116500d0-357e-4ace-a7af-7264ed58e22a,,5428db01-79b3-4487-a2b2-0e63327f2510,
