id,tenant_domain,market_id,name,created_by,created_at,updated_at
de9f9358-81f0-47ea-8c20-41d57a2ca5f4,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Blog Post,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
168e4eb1-65aa-4aed-886e-518e20c1db05,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,White Paper,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
b5e0bd0f-1532-4700-97ba-02b14c8faea5,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Case Study,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
c6e4e4c0-193c-4074-8cd1-c656dbf189b9,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,eBook,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
6a3b729b-fd74-4c88-a1a3-f9b6f60e36e1,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Infographic,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
e6920cc3-8e58-47e6-9c48-def4a2a78dcd,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Webinar,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
52dd10d2-a986-4dd2-a8f7-5f11036f164d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Video,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
4f916b55-054e-4ebb-a1b3-1ac224f06ae7,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Podcast,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
b576420e-d6c2-42aa-b1c4-8b50b29c6cc7,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Press Release,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
a34675c4-7787-44ca-ac5a-f266e4212c61,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Newsletter,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
0abe5426-6c08-4047-a6d3-16c71d8dacfe,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Product Brief,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
034435f4-bbf7-41b0-809e-ee70269b7c8a,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Datasheet,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:37:17.84152,2026-03-22 22:37:17.84152
