id,conference_id,tenant_domain,title,speaker,track,room,session_start,session_end,abstract,url,sort_order,status,created_at,updated_at,speakers,session_type
753e1204-0e57-4f4a-9afd-a82a319b0929,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,Embracing Change: Driving Adoption in M365 Copilot,"Michelle Caldwell, Jill Hannemann",,S103D,2026-06-15 09:00:00,,,,0,active,2026-06-07 15:22:05.181322,2026-06-07 17:13:50.263,"[{""name"": ""Michelle Caldwell"", ""isStaff"": true}, {""name"": ""Jill Hannemann"", ""isStaff"": false}]",WORKSHOP
53f1414e-9f1d-4461-811f-fe5d9ac8d4ff,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,Communication Plans for AI-Powered Change,"Michelle Caldwell, Jill Hannemann",,S106A,2026-06-16 09:00:00,,,,1,active,2026-06-07 15:23:39.761854,2026-06-07 17:14:40.376,"[{""name"": ""Michelle Caldwell"", ""isStaff"": true}, {""name"": ""Jill Hannemann"", ""isStaff"": false}]",WORKSHOP
62c26d6e-1fce-4238-8dc3-e6bc7718dd1f,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,Empowering Champions for M365 + Copilot Adoption,"Michelle Caldwell, Jill Hannemann",,S103A,2026-06-17 13:40:00,,,,2,active,2026-06-07 15:24:41.891063,2026-06-07 17:15:13.513,"[{""name"": ""Michelle Caldwell"", ""isStaff"": true}, {""name"": ""Jill Hannemann"", ""isStaff"": false}]",BREAKOUT
b094801c-cb91-4a81-95c3-c3ea5e51e174,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,Put Strategy To Work: Using M365 for Strategy & Planning,Chris McNulty,,S105A,2026-06-18 12:50:00,,,,3,active,2026-06-07 15:25:17.243539,2026-06-07 17:15:32.208,"[{""name"": ""Chris McNulty"", ""isStaff"": true}]",BREAKOUT
13ee5768-a8c3-4f60-9ce9-000fa771753e,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,"Making M365 Reliable for AI: What to Monitor, How to Fix It",Chris McNulty,,S102A,2026-06-19 12:30:00,,,,4,active,2026-06-07 15:26:59.877661,2026-06-07 17:15:51.58,"[{""name"": ""Chris McNulty"", ""isStaff"": true}]",BREAKOUT
d424133f-a466-4556-99d2-7e6e6fd03eb4,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,From To-Do to Done: Unlock the New Microsoft Planner,Shari Oswald,,S105A,2026-06-18 09:00:00,,,,5,active,2026-06-07 15:27:36.416002,2026-06-07 17:16:10.564,"[{""name"": ""Shari Oswald"", ""isStaff"": true}]",BREAKOUT
4336bdd0-cbfb-49eb-8242-7dccbe3289e8,d795fd88-7a29-4959-a63d-8429b854c3a4,synozur.com,Amplifying Productivity in M365: Strategies + AI Boosts,"Shari Oswald, Christian Buckley",,S103A,2026-06-18 16:00:00,,,,6,active,2026-06-07 15:29:32.877335,2026-06-07 17:16:47.847,"[{""name"": ""Shari Oswald"", ""isStaff"": true}, {""name"": ""Christian Buckley"", ""isStaff"": false}]",BREAKOUT
232d63a2-afe4-4975-afcd-1f006eb75bdb,849a9e37-23eb-4b84-8091-e1bd1ef8449e,synozur.com,Vibecoding Microsoft 365: Build AI Agents Admin Scripts and Web Apps Without Writing Code,"Chris McNulty, Michelle Caldwell",,Room 423-424,2026-08-24 09:00:00,,,https://techcon365.com/Seattle/component/content/article/863-azure-m365-development-track-2026?catid=56&Itemid=199,0,active,2026-07-09 17:57:07.211742,2026-07-09 17:57:07.211742,"[{""name"": ""Chris McNulty"", ""isStaff"": false}, {""name"": ""Michelle Caldwell"", ""isStaff"": false}]",WORKSHOP
dfee73c6-2159-4134-97dc-21aa477de833,849a9e37-23eb-4b84-8091-e1bd1ef8449e,synozur.com,The AI Champion's Playbook: Empowering Change Agents for Microsoft 365 + Copilot Adoption,"Michelle Caldwell, Jill Hannemann",,Room 437-439,2026-08-25 09:00:00,,,https://techcon365.com/Seattle/program/sessions-workshops,1,active,2026-07-09 17:57:07.211742,2026-07-09 17:57:07.211742,"[{""name"": ""Michelle Caldwell"", ""isStaff"": false}, {""name"": ""Jill Hannemann"", ""isStaff"": false}]",WORKSHOP
8c600d4e-a05a-4b40-93e5-1fb937516e37,849a9e37-23eb-4b84-8091-e1bd1ef8449e,synozur.com,AI-Powered Project Planning with Teams Copilot and Planner,Michelle Boyd,,Room 423-424,2026-08-26 11:40:00,,,https://techcon365.com/Seattle/program/sessions-workshops,2,active,2026-07-09 17:57:07.211742,2026-07-09 17:57:07.211742,"[{""name"": ""Michelle Boyd"", ""isStaff"": false}]",
