id,tenant_domain,action,cost_tier,period_start,occurred_at,succeeded,actor_user_id,resource_id,metadata,user_id
c54aab3b-42cd-4965-9dc4-ddc5d6f6f18f,synozur.com,linkedinRefresh,low,2026-05-04 20:42:29.39217,2026-05-04 20:42:29.39217,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
ba5c7d6d-be11-4b4a-a565-1396b84b1481,synozur.com,manualWebsiteMonitor,low,2026-05-04 20:42:40.020215,2026-05-04 20:42:40.020215,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
9a32b585-1a04-4850-a8ee-c09c6fc1628c,synozur.com,linkedinRefresh,low,2026-05-04 20:42:47.526146,2026-05-04 20:42:47.526146,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
9ba7774b-8693-426d-90b2-3fe6357a481b,synozur.com,linkedinRefresh,low,2026-05-04 20:42:55.756627,2026-05-04 20:42:55.756627,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
93fdc9e6-9181-416e-bf68-a0898d611f39,synozur.com,linkedinRefresh,low,2026-05-04 20:43:06.336363,2026-05-04 20:43:06.336363,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
4b6e96b9-de75-4b88-b8c7-73b512ecbf78,synozur.com,linkedinRefresh,low,2026-05-04 20:43:13.932249,2026-05-04 20:43:13.932249,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
0b386928-4097-4bcc-a122-8c8e1e88f7c8,synozur.com,linkedinRefresh,low,2026-05-04 20:43:27.586174,2026-05-04 20:43:27.586174,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
2de1d7dd-10e2-4b5d-9fce-9dba9ece551f,synozur.com,linkedinRefresh,low,2026-05-04 20:43:38.805903,2026-05-04 20:43:38.805903,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
d41afea6-727d-49f1-b51d-d61ae467500a,synozur.com,linkedinRefresh,low,2026-05-04 20:43:51.228659,2026-05-04 20:43:51.228659,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
27b0671b-890d-4768-8337-b98120b947ab,synozur.com,linkedinRefresh,low,2026-05-04 20:44:05.141756,2026-05-04 20:44:05.141756,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
44a3f941-7a44-4159-ab04-f8414a4e9b36,synozur.com,linkedinRefresh,low,2026-05-04 20:44:13.813803,2026-05-04 20:44:13.813803,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
53ed939a-e3a6-46f1-a3e5-b5a85fe15395,synozur.com,manualBriefingRebuild,high,2026-05-04 20:44:31.390972,2026-05-04 20:44:31.390972,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
c8122f22-fa89-40ac-9571-673e7abdf6d2,synozur.com,manualBriefingRebuild,high,2026-05-04 21:14:26.585751,2026-05-04 21:14:26.585751,t,,,,116500d0-357e-4ace-a7af-7264ed58e22a
ed3039a4-a2b4-43cd-9ed5-32c80322195a,synozur.com,manualCrawl,medium,2026-05-05 21:44:54.197805,2026-05-05 21:44:54.197805,t,,,,41b7378d-31af-402a-b50d-4d8e204bbd7d
69dc98d4-6b95-4772-8177-2c7221ad1ee0,synozur.com,manualCrawl,medium,2026-05-05 21:45:09.279075,2026-05-05 21:45:09.279075,t,,,,6a963bc8-8605-4bdb-ae33-32efe0d5e27d
4b6a4bb5-0175-4c8b-b685-dd01a29dd123,synozur.com,manualCrawl,medium,2026-05-05 21:45:22.981497,2026-05-05 21:45:22.981497,t,,,,6a963bc8-8605-4bdb-ae33-32efe0d5e27d
7b8f532c-8e23-45f6-a773-3d9b3f3b7fd8,synozur.com,manualCrawl,medium,2026-05-05 21:45:27.300637,2026-05-05 21:45:27.300637,t,,,,6a963bc8-8605-4bdb-ae33-32efe0d5e27d
12d9026c-e4c6-43ef-a9e2-4407bd2de6b8,synozur.com,manualCrawl,medium,2026-05-05 21:45:32.109072,2026-05-05 21:45:32.109072,t,,,,6a963bc8-8605-4bdb-ae33-32efe0d5e27d
2c8edc23-71c5-43ab-b109-7c3ce614ef75,synozur.com,regenerateAll,high,2026-05-05 21:45:59.863697,2026-05-05 21:45:59.863697,t,,,,41b7378d-31af-402a-b50d-4d8e204bbd7d
2721ce74-ce61-4587-bf08-1c43461364fd,synozur.com,manualCrawl,medium,2026-05-05 21:45:44.245148,2026-05-05 21:45:44.245148,t,,,,6a963bc8-8605-4bdb-ae33-32efe0d5e27d
