id,tenant_domain,market_id,name,description,status,start_date,end_date,post_generation_job_id,created_by,created_at,updated_at,number_of_days,include_saturday,include_sunday,product_ids,always_hashtags,thematic_brief,thematic_url,campaign_type,objective,goal,audience_persona_ids,parent_campaign_id,founding_signals,interview,brief_only_mode
b2289b9c-7f8a-410d-aef4-9aecbb185ae0,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Polaris 053,,completed,2026-03-25 00:00:00,2026-04-04 00:00:00,fb3586b3-0c8f-4159-bd40-22be980a94d0,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-25 22:11:42.71181,2026-05-24 16:28:50.57,8,f,f,{},[],,,theme,,,,,,,f
4286a2db-10f8-42d5-84a6-6029887121d1,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,AI Academy,,completed,2026-03-25 00:00:00,2026-05-13 00:00:00,c7f2b9eb-55b4-46dd-8a1d-4f147361628c,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-25 13:15:35.014241,2026-06-15 20:50:04.345,35,f,f,{b52269af-cb22-4a15-88ad-69c97a7538a4},[],,,theme,,,,,,,f
2cdafb53-0d4c-4588-aaec-4b93a37db784,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Company OS Bootcamp,,completed,2026-03-25 00:00:00,2026-06-17 00:00:00,00ca2113-6df9-4557-9d5a-953bae3e32d2,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-25 13:37:47.710052,2026-06-24 00:19:53.3,60,f,f,{},[],,,theme,,,,,,,f
60314299-d604-4b8a-a5ee-1cfb94d36212,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Constellation Trial,,archived,2026-03-30 00:00:00,2026-05-07 00:00:00,5012ad7a-9516-4d3e-8fe1-568baab49d49,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-26 23:24:53.061917,2026-06-15 20:50:48.616,30,f,f,{afefe297-2a85-436c-9016-3742a48b0f57},"[""Synozur"", ""Copilot""]",,,theme,,,,,,,f
a6c16c30-166d-4383-821a-c40eab5978e4,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026-03 Case Studies,March 2026 Business Value,completed,2026-03-25 00:00:00,2026-04-14 00:00:00,5f3c4cd6-706f-4d8d-b1b7-f4028469305c,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-25 00:52:19.699822,2026-06-15 20:28:24.567,14,f,f,{},[],,,theme,,,,,,,f
fa86e133-a492-424c-9403-64411b874768,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Campaign: Upgrading Your Company Operating System (2026): From Ambition to Execution,,deleted,2026-03-23 00:00:00,2026-03-31 00:00:00,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-23 18:44:16.581196,2026-03-24 02:08:30.309,7,t,f,{},[],,,theme,,,,,,,f
ecacc41f-7392-44ce-a3c7-59be6c87d623,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,Spring Updates,,completed,2026-04-10 00:00:00,2026-05-10 00:00:00,d4b04354-f55b-44d2-aa0b-d6efde323fdf,cfb63c72-81e0-44ff-9c96-7d6632a72dde,2026-04-10 18:04:17.006878,2026-06-25 18:48:12.25,30,t,t,{},[],,,theme,,,,,,,f
d7452c55-bc1e-4c27-a68e-a9a5124cdcd1,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Campaign: M365 Community Conference 2026,,deleted,2026-03-24 00:00:00,2026-04-04 00:00:00,60a201ab-c68a-4467-94c6-b12b86004e09,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 12:00:14.052607,2026-03-30 20:04:59.18,9,f,f,{},"[""M365Con26"", ""Microsoft365""]",,,theme,,,,,,,f
0981dbfd-a881-4c4c-820d-993680ce6b56,reveillesoftware.com,5232feeb-8671-489f-ab07-e9d7310f0a3f,RevEnt Awareness April 2026,,draft,2026-04-03 00:00:00,2026-05-15 00:00:00,cab3a3c7-6643-4ad0-af1a-f73cade702a9,d816008f-9e8e-434b-8a60-bad260959ddb,2026-04-03 16:18:13.613357,2026-04-03 16:18:56.641,30,f,f,{},[],,,theme,,,,,,,f
09d553f7-e831-4b8b-8d29-d59b8ceea698,reveillesoftware.com,5232feeb-8671-489f-ab07-e9d7310f0a3f,Enterprise Launch,,draft,2026-03-26 00:00:00,2026-03-31 00:00:00,c597bf31-97e6-430a-b586-7c63da74a106,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-26 13:44:27.770242,2026-03-26 13:45:06.362,3,f,f,{},[],,,theme,,,,,,,f
074c2655-ec3c-4264-ba92-352563b13a8e,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,M365 Academy,,archived,2026-04-06 00:00:00,2026-05-16 00:00:00,da5eef00-f51f-4c6f-b77d-71928a1c45f3,116500d0-357e-4ace-a7af-7264ed58e22a,2026-04-06 20:16:05.915023,2026-06-12 14:55:52.811,35,t,f,{},[],,,theme,,,,,,,f
526c3fe6-f60b-429a-8ccb-b6d2cac5d2e0,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,M365CC26-Boost,,completed,2026-03-30 00:00:00,2026-04-25 00:00:00,8c11aff3-f8ac-4ab8-b8e0-23ff3026f1b4,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-30 21:48:33.03889,2026-06-15 20:49:37.141,23,f,t,{},"[""Synozur"", ""M365Conf""]",,,theme,,,,,,,f
7da98b3c-256e-4ca2-a952-8c37e1d69829,reveillesoftware.com,5232feeb-8671-489f-ab07-e9d7310f0a3f,M365 RevEnt Webinar April 2026,,draft,2026-04-06 00:00:00,2026-04-15 00:00:00,744f6a65-2e6e-4770-9a05-37e747f2f902,d816008f-9e8e-434b-8a60-bad260959ddb,2026-04-03 18:55:58.023351,2026-04-03 18:56:27.429,7,f,f,{},[],,,theme,,,,,,,f
9ad7d9ed-ef41-414d-95f6-f7b4fa5b8861,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Fractional CxO ,,completed,2026-03-24 00:00:00,2026-05-12 00:00:00,e1daaca2-fc02-492a-9482-04678f168fea,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-25 03:41:50.038546,2026-06-15 20:49:10.219,35,f,f,{},[],,,theme,,,,,,,f
be9dd7bf-f3cc-4b45-b33c-3a9dde2fca20,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Campaign: M365 Community Conference 2026 | The Synozur Alliance,,deleted,2026-03-30 00:00:00,2026-04-23 00:00:00,e2fb137d-238d-43e9-a4a4-55ead551d9ae,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-30 20:14:07.634665,2026-03-30 21:10:52.399,25,t,f,{},"[""Synozur"", ""M365Conf""]",,,theme,,,,,,,f
e4b33a78-3c0a-4ea9-95ad-f9ecef3d5842,synozur.com,7e86ba11-1ba2-4853-a91b-bcd180e0ba0f,Spring Test,,draft,2026-04-05 00:00:00,2026-05-05 00:00:00,2d3944e4-3cc7-4144-a9b6-73da71d7c164,116500d0-357e-4ace-a7af-7264ed58e22a,2026-04-05 20:04:35.649397,2026-04-05 20:04:56.496,30,t,t,{},[],,,theme,,,,,,,f
a438b658-82e5-48db-b28a-b4f81aeaf6ac,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Campaign: AI Strategy and Design,,deleted,2026-03-24 00:00:00,2026-04-09 00:00:00,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 11:42:35.206789,2026-06-15 20:25:45.648,12,f,f,{},[],,,theme,,,,,,,f
8dc0e13f-c91d-4cc4-abee-7b476b91598d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,M365 Workshops,,deleted,2026-04-06 00:00:00,2026-05-11 00:00:00,be908138-dc58-4048-82a9-af1312fb1f1a,116500d0-357e-4ace-a7af-7264ed58e22a,2026-04-06 18:05:42.413232,2026-04-06 19:17:42.281,30,f,t,{},[],,,theme,,,,,,,f
7b02fe4c-5950-408e-9275-9696affa74bc,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,M365 Campaigns,,deleted,2026-04-06 00:00:00,2026-05-10 00:00:00,2742204a-3478-4556-9155-b537d4a4d975,116500d0-357e-4ace-a7af-7264ed58e22a,2026-04-06 19:18:39.154499,2026-04-06 20:15:27.537,30,t,f,{},[],,,theme,,,,,,,f
fc2cdc7d-16ff-409b-88f4-7193bf36dd68,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Zenith Awareness,,deleted,2026-03-29 00:00:00,2026-04-28 00:00:00,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-29 23:11:32.397655,2026-04-21 01:05:39.001,21,f,f,{},[],,,theme,,,,,,,f
900d7724-fe34-4a8e-9eb0-d2ff202837e0,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,Spring 2026,,deleted,2026-04-09 00:00:00,2026-05-09 00:00:00,3b649bdf-1b19-4ad4-8caf-8c285a5bde82,cfb63c72-81e0-44ff-9c96-7d6632a72dde,2026-04-10 06:30:18.092669,2026-04-10 17:58:50.86,30,t,t,{},"[""PNW""]",,,theme,,,,,,,f
7ea9771c-f3c3-4072-8b9d-bf0bd02c988c,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,Photo Pairs Q2 2026,,draft,2026-04-10 00:00:00,2026-07-01 00:00:00,,cfb63c72-81e0-44ff-9c96-7d6632a72dde,2026-04-10 20:43:27.713927,2026-04-10 20:43:27.713927,58,f,f,{},[],,,theme,,,,,,,f
2fd61b3e-6010-44b2-9645-56f093ec124d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,AI+IM Summit 2026,,completed,2026-03-25 00:00:00,2026-04-30 00:00:00,656b1cef-dd8d-461b-b3b7-ee4f2e132a03,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 15:53:32.193993,2026-05-24 16:28:33.962,28,f,f,{},"[""AIIM""]",,,theme,,,,,,,f
dfa7edd7-50f4-4385-bb2f-1422e89d54bc,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Campaign: Upgrading Your Company Operating System (2026): From Ambition to Execution,,archived,2026-03-23 00:00:00,2026-03-31 00:00:00,bb51bd56-45b9-4570-a351-cbeb2354f286,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-23 14:42:42.418968,2026-06-15 20:28:07.704,7,t,f,,[],,,theme,,,,,,,f
ef6e3cca-b51a-4d8c-9c31-a7503c2c1f2a,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,New Spring Revisited 2026,,draft,2026-04-15 00:00:00,2026-06-14 00:00:00,f15544d0-2d61-4859-9fa6-0e1a4249ff79,cfb63c72-81e0-44ff-9c96-7d6632a72dde,2026-04-14 03:15:44.531692,2026-04-14 03:16:08.259,60,t,t,{},[],,,theme,,,,,,,f
b4bbc82f-3ce7-486b-851e-37b934320b1a,chrismcnulty.net,08610095-ef99-4205-b5ae-13264021a471,New Spring Creative 2026,,draft,2026-04-13 00:00:00,2026-06-12 00:00:00,93f8d79c-dc5a-47ff-84fa-104ca3266b28,cfb63c72-81e0-44ff-9c96-7d6632a72dde,2026-04-14 03:17:00.186637,2026-04-14 03:19:20.892,60,t,t,{},[],,,theme,,,,,,,f
7e40ddde-732a-41e2-8ffd-097ba4143fd5,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,2026 June Zenith,,deleted,,,,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-10 11:48:04.844137,2026-06-15 20:25:56.545,,f,f,,[],,,theme,,,,,,,f
2df227d3-f807-4d47-b405-3d100b164926,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,AI Q2 2026 LinkedIn,,deleted,2026-06-02 00:00:00,2026-07-01 00:00:00,de871b46-9e9f-409d-8e33-94811c503afc,116500d0-357e-4ace-a7af-7264ed58e22a,2026-06-01 20:33:17.117572,2026-06-01 20:45:35.687,25,t,f,{},[],,,theme,,,,,,,f
