id,tenant_domain,market_id,name,description,url,file_url,file_type,file_size,category_id,status,created_by,created_at,updated_at,product_ids,tags,source_content_asset_id,asset_type,logo_variant,font_family,font_weight,font_style,font_usage
2202f54c-e7dc-47af-aa87-06f5a8c20361,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Image from Upgrading Your Company Operating System (2026): From Ambition to Execution,Lead image extracted from https://www.synozur.com/post/upgrading-your-company-operating-system-2026-from-ambition-to-execution,"https://static.wixstatic.com/media/b805ce_daeba1847b08463bbc13e4eeb1bd5345~mv2.jpeg/v1/fill/w_1000,h_667,al_c,q_85,usm_0.66_1.00_0.01/b805ce_daeba1847b08463bbc13e4eeb1bd5345~mv2.jpeg",,image,,,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-23 14:02:11.420753,2026-03-23 15:25:11.396,,,25549766-48a6-4abf-a7ee-d0ca5935d85f,other,,,,,
8df0f098-8064-494e-b658-84ba1be28d7a,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Star Trails Rocket,Lead image extracted from https://www.synozur.com/models/ai-maturity-model,"https://static.wixstatic.com/media/b805ce_9027f93fb21340c1b3f7a9e25b1f832b~mv2.jpeg/v1/fill/w_4624,h_2589,al_c,q_90/AdobeStock_1238508882.jpeg",,image,,497a9e69-c92d-4642-b846-097d220e74aa,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-22 22:42:02.679006,2026-03-23 15:28:54.251,,,a7e86451-cde2-49d8-91ba-1397c9584d6c,other,,,,,
40c44564-fb85-4b74-bd81-6d4034cdf7f4,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Team Discussion,Four people review plans before a meeting,"https://static.wixstatic.com/media/b805ce_3c46f10e30d6494f9961c3c265212750~mv2.jpeg/v1/fill/w_5472,h_3204,al_c,q_90/AdobeStock_670678012.jpeg",,image,,1e1f3ddf-eb6b-4153-bcb2-6c8984e01089,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-23 00:07:03.309729,2026-03-24 11:11:25.439,,,2f348856-e9b7-4b85-8962-06efb5f5ee4b,other,,,,,
7a57167f-ffe7-4123-95bf-0657f71d4c90,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Future Planning,Team developing ideas,https://static.wixstatic.com/media/b805ce_ac5ee1b33b6a4b34b7f0e6d0055de8fd~mv2.jpeg,,,,1e1f3ddf-eb6b-4153-bcb2-6c8984e01089,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 11:22:12.823323,2026-03-24 11:24:48.752,,,,other,,,,,
508ee54c-61d6-4b5f-a883-99ac519e34a7,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Orlando,Orlando Skyline,"https://static.wixstatic.com/media/b805ce_7fd633e35fb5444aabeb84fef616abd4~mv2.jpeg/v1/fill/w_5400,h_3600,al_c,q_90/b805ce_7fd633e35fb5444aabeb84fef616abd4~mv2.jpeg",,image,,2bf81ce2-a895-47f4-83f4-067199dd4e9a,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 11:58:09.010719,2026-03-24 11:58:48.788,,,27c09f6b-ab1e-4f2f-8d16-07b415cdb92d,other,,,,,
ad251ecb-1ccf-4b28-9ee5-3596364435c0,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Zenith Anchor,,"https://static.wixstatic.com/media/b805ce_64ac1f32ded24141bf2b8136c6e64780~mv2.jpeg/v1/fill/w_1020,h_627,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Image-empty-state.jpeg",,,,44d89090-2c66-4bec-8f2a-7c0daa155d73,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 14:35:51.804993,2026-03-24 14:35:51.804993,,,,other,,,,,
f0a9f63c-d54a-483d-afc5-845fa9af3436,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Conference,,https://static.wixstatic.com/media/b805ce_2b91dd49a36447698776c345dddb48e9~mv2.jpeg,,,,135d3800-a332-409a-8a9b-57a830ecc4c0,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 15:50:49.097591,2026-03-24 15:50:49.097591,,,,other,,,,,
a19fa55c-c996-43bb-9bcb-acb22f191f99,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Conference Blue,,https://static.wixstatic.com/media/b805ce_59c27943e9f74ca5a0cbe23533202ba1~mv2.jpeg,,,,135d3800-a332-409a-8a9b-57a830ecc4c0,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 15:51:14.216747,2026-03-24 15:51:24.642,,,,other,,,,,
7ff06a8a-420b-4a2e-a1ce-e6dc40f8302d,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Conference Purple,,https://static.wixstatic.com/media/b805ce_1a6f5fe14bb24f8599d3d3e3d17fd560~mv2.jpeg,,,,135d3800-a332-409a-8a9b-57a830ecc4c0,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 15:52:10.776802,2026-03-24 15:52:32.111,,,,other,,,,,
81e85760-b996-4783-90aa-cd544a6e0fba,synozur.com,137db123-4906-4e61-af99-f0d23d86a622,Aurora People,,https://static.wixstatic.com/media/b805ce_3b80857c49be45faa3862815fcbe5a23~mv2.jpeg,,,,497a9e69-c92d-4642-b846-097d220e74aa,active,116500d0-357e-4ace-a7af-7264ed58e22a,2026-03-24 15:58:07.141919,2026-03-24 15:58:07.141919,,,,other,,,,,
